Record ID,Robot Name,Description,Manufacturer,Robot Type,Form Factor,Commercial Status,Official Website,Source,Source URL,Website Verified
robot:yasuohayashibara/generate-walking-pattern-based-on-linear-inverted-pendulum-model,generate-walking-pattern-based-on-linear-inverted-pendulum-model,Walking Pattern Generator based on linear inverted pendulum model,yasuohayashibara,Humanoid Robot,,Research Platform,https://github.com/yasuohayashibara/generate-walking-pattern-based-on-linear-inverted-pendulum-model,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:yaoguangluo/deta_catalytic_dna,Deta_Catalytic_DNA,"Humanoid & catalytic DNA for AI   这个项目免费赠送给所有碳基智慧体. 生命词根,肽展公式模拟, 肽计算, DNA计算.",yaoguangluo,Humanoid Robot,,Research Platform,https://github.com/yaoguangluo/Deta_Catalytic_DNA,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:devizi0/iroc-aimissonracing,IROC-AiMissonRacing,2023년 국제로봇올림피아드 Ai미션레이싱 대회 소스코드,devizi0,Humanoid Robot,,Research Platform,https://github.com/devizi0/IROC-AiMissonRacing,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:3457109829zzx-svg/unitree_g1_llm_chat,unitree_g1_llm_chat,宇树G1-基于大语言模型(LLM)的语音交互与控制框架，支持自然语言指令驱动手臂动作与运动控制。,3457109829zzx-svg,Humanoid Robot,,Research Platform,https://github.com/3457109829zzx-svg/unitree_g1_llm_chat,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:soheilkhatibi/robocup-humanoid-mrl-webots-simulation,RoboCup-Humanoid-MRL-Webots-Simulation,Webots Simulation of RoboCup 2019 Humanoid Soccer Environment. ,SoheilKhatibi,Humanoid Robot,,Research Platform,https://github.com/SoheilKhatibi/RoboCup-Humanoid-MRL-Webots-Simulation,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:ami-iit/paper_sartore_2022_humanoids_ergonomic_design,paper_sartore_2022_humanoids_ergonomic_design,Humanoids 2022 Paper,ami-iit,Humanoid Robot,,Research Platform,https://github.com/ami-iit/paper_sartore_2022_humanoids_ergonomic_design,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:zc-xzc/robot_platform,robot_platform,Head-tracking active vision platform for humanoid robots — PICO 4 → dual-axis gimbal → D415 camera. 3D-printable mounts & URDF/SDF simulation models included.,zc-xzc,Humanoid Robot,,Research Platform,https://github.com/zc-xzc/robot_platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:spidoug/synrov,SynROV,"SynROV is a multi-robot platform. The project combines Arduino firmware, a Processing-based 3D operator station, a browser control console, the Python AiBot runtime, and optional ROS 2/rosbridge integration.",Spidoug,Humanoid Robot,,Research Platform,https://github.com/Spidoug/SynROV,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:omrfrkkus/adam-humanoid-robot-showcase,Adam-Humanoid-Robot-Showcase,"Architectural showcase of Adam, a 3D-printed embodied AI humanoid integrating Google Gemini, Llama, and computer vision for ultra-low latency physical interaction.",omrfrkkus,Humanoid Robot,,Research Platform,https://github.com/omrfrkkus/Adam-Humanoid-Robot-Showcase,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:yuanoook/alitaalita,alitaalita,Everything You Need To Know About Humanoid Robots,yuanoook,Humanoid Robot,,Commercial Product,https://alitaalita.com,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:bitroboticslab/robot-motion-player,robot-motion-player,"Visualizer & editor for AMP motion datasets, built for legged robot locomotion and trajectory optimization research",bitroboticslab,Humanoid Robot,,Commercial Product,https://github.com/bitroboticslab,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:lekha-reddy-git-hub/thoughtlink,thoughtlink,Brain-to-robot intent decoder: decoding EEG brain signals into humanoid robot commands at 24ms latency. Multi-robot fleet orchestration with one human supervising 10+ autonomous robots. Hack Nation 2026 - ThoughtLink Challenge (Kernel & Dimensional).,Lekha-Reddy-git-hub,Humanoid Robot,,Commercial Product,https://huggingface.co/datasets/KernelCo/robot_control,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:zhouyikaiii/ddc,DDC,DDC (Deployable Dynamic-CoM): a unified policy and method-agnostic sim2sim benchmark for humanoid single-leg stance; deploys on a real Unitree G1. arXiv:2608.00500,zhouyikaiii,Humanoid Robot,,Commercial Product,https://estoil.github.io/DDC,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:ivelin/zk0,zk0,Community raised humanoid,ivelin,Humanoid Robot,,Commercial Product,https://zk0.bot,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:omrfrkkus/johnny-humanoid-robot-showcase,Johnny-Humanoid-Robot-Showcase,"Demonstration of Johnny, an AI-driven INMOOV humanoid robot. Features synchronization of cloud LLMs (Google Vertex AI) with Arduino-controlled physical servos.",omrfrkkus,Humanoid Robot,,Research Platform,https://github.com/omrfrkkus/Johnny-Humanoid-Robot-Showcase,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:byt3n33dl3/evoducks,EvoDucks,Rubber Ducky scripts 4.0,byt3n33dl3,Humanoid Robot,,Commercial Product,https://usbrubberducky.com,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:darshmenon/rl-bipedal-walking,rl-bipedal-walking,"Reinforcement learning (PPO) and whole-body control for humanoid bipedal locomotion, with MuJoCo/Isaac Gym training, QP-based balance and push-recovery, and ROS 2 sim-to-real deployment on Unitree H1 and XBot-L.",darshmenon,Humanoid Robot,,Research Platform,https://github.com/darshmenon/rl-bipedal-walking,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:zoreanuj/zero-shot-motion-tracking,Zero-Shot-Motion-Tracking,"Text-to-Physics for Unitree G1: type a motion description, get a physics-simulated humanoid performing it. Zero-shot via Kimodo + ProtoMotions GTP + MuJoCo.",ZoreAnuj,Humanoid Robot,,Commercial Product,https://github.com/ZoreAnuj/Zero-Shot-Motion-Tracking,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:rsamf/asimov-rgmt,asimov-rgmt,Robust and Generalized Motion Tracking (RGMT) for the Asimov v1 humanoid. PPO on Newton physics.,rsamf,Humanoid Robot,,Commercial Product,https://huggingface.co/rsamf/asimov-rgmt-medium,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:holypong/merimujoco,merimujoco,MuJoCo physics simulation for Meridian humanoid robot — Sim2Real / Real2Sim via meridis at 100 Hz,holypong,Humanoid Robot,,Research Platform,https://github.com/holypong/merimujoco,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:alexbuildstech/nova,nova,Open Source AI Robot Software for InMoov | LLM + Computer Vision + Voice Interaction | Python | Radxa | NVIDIA Jetson | Raspberry Pi,alexbuildstech,Humanoid Robot,,Commercial Product,https://github.com/alexbuildstech/nova,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:daxiaozhizhiwu/pbd-ag,PBD-AG,"PBD-AG: Persistent Baseline-Delta Active Graphs for long-horizon service robots, with G1 relocalization, safe navigation, fine inspection, 6D pose twins, VLA and Agent integration.",daxiaozhizhiwu,Humanoid Robot,,Research Platform,https://github.com/daxiaozhizhiwu/PBD-AG,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:thaiquangnguyen/humanoid,humanoid,Bach Khoa Robotics and Automation - BKBOT Humanoid 2019,thaiquangnguyen,Humanoid Robot,,Commercial Product,https://facebook.com/BKRACLUB/photos/a.745491135846163/865609660500976?type=3,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:pradumn203/footstep-planning-of-humanoid-robot-in-ros-environment-using-generative-adversarial-networks-gans,Footstep-planning-of-humanoid-robot-in-ROS-environment-using-Generative-Adversarial-Networks-GANs,"This repository is the TensorFlow implementation of my paper titled ""Footstep planning of humanoid robot in ROS environment using Generative Adversarial Networks (GANs) deep learning""",pradumn203,Humanoid Robot,,Research Platform,https://github.com/pradumn203/Footstep-planning-of-humanoid-robot-in-ROS-environment-using-Generative-Adversarial-Networks-GANs,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:ershui2500/unirobogui,UniRoboGui,"Open-source Unitree G1 Web GUI & SDK2 dashboard for telemetry, robot control, SLAM/navigation, Mid-360 point clouds, D435i, 29DoF joint debugging, ASR/TTS and LLM.",ershui2500,Humanoid Robot,,Research Platform,https://github.com/ershui2500/UniRoboGui,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:tuncismail/pepper-robot-ros2-gazebo-simulation,pepper-robot-ros2-gazebo-simulation,"The first and only open-source SoftBank Pepper robot simulation for ROS 2 Humble & Gazebo Classic 11. Full joint control, Nav2 navigation, realistic sensors, and Docker-based browser GUI.",tuncismail,Humanoid Robot,,Research Platform,https://github.com/tuncismail/pepper-robot-ros2-gazebo-simulation,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:lara-unb/unbeatables,UnBeatables,,lara-unb,Humanoid Robot,,Commercial Product,https://lara-unb.github.io/UnBeatables,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:xprogramer/kheirobot_v2,Kheirobot_v2,"The program of the new homemade 8 DOFs biped robot. It is based on Arduino Uno and 8 servos, as well as is controlled via the nRF24L01+ radio module.",xprogramer,Humanoid Robot,,Research Platform,https://github.com/xprogramer/Kheirobot_v2,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:amirivojdan/humanoidsoccerrobot,HumanoidSoccerRobot,A modular software framework for humanoid soccer robot research & development,amirivojdan,Humanoid Robot,,Research Platform,https://github.com/amirivojdan/HumanoidSoccerRobot,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:y-modify/yamax,YamaX,A humanoid made for our research about the automation of walk,Y-modify,Humanoid Robot,,Commercial Product,https://y-modify.org/yamax,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:miaodx/robowbc,robowbc,"Linux-first embedded runtime for humanoid whole-body-control (WBC) policy inference. One contract, multiple backends — Python SDK with a Rust core, ONNX and PyO3.",MiaoDX,Humanoid Robot,,Research Platform,https://github.com/MiaoDX/robowbc,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:nsmoly/bioloidcontroller,BioloidController,API for controlling Bioloid dynamixel servos from PC via CM-5 controller,nsmoly,Humanoid Robot,,Research Platform,https://github.com/nsmoly/BioloidController,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:mr-rsa369/wholebodyvla,WholebodyVLA,🚀 Control humanoid loco-manipulation seamlessly using a unified Vision-Language-Action framework for advanced manipulation tasks in larger spaces.,mr-RSA369,Humanoid Robot,,Commercial Product,https://mr-rsa369.github.io,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:unlimited-research-cooperative/android-hasel,Android-HASEL,"Perfectly realistic android, down to the last detail. Uses HASEL actuators as biomimetic musculature, internal AI for physical, and external AI for conversational",Unlimited-Research-Cooperative,Humanoid Robot,,Commercial Product,https://discord.gg/bKpF32REAj,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,False
robot:dfki-ric-underactuated-lab/dfki-quad,dfki-quad,"This repo contains the quadruped controller used at DFKI's underactuated lab. It mainly contains a simulation, dynamic walking controller using MPC, WBC and different Gait Sequencers and hardware drivers to be used with different quadrupeds.",dfki-ric-underactuated-lab,Quadruped Robot,,Research Platform,https://github.com/dfki-ric-underactuated-lab/dfki-quad,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:ger01d/kinematic-model-opencat,kinematic-model-opencat,Inverse kinematic model of quadruped OpenCat robots - Nybble and Bittle.,ger01d,Quadruped Robot,,Research Platform,https://github.com/ger01d/kinematic-model-opencat,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:ger01d/opencat-gym,opencat-gym,Gym reinforcement learning environment for OpenCat robots.,ger01d,Quadruped Robot,,Research Platform,https://github.com/ger01d/opencat-gym,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:sayantani-bhattacharya/multi-hetero-agent-exploration-on-unitreegos,Multi-Hetero-Agent-Exploration-on-UnitreeGOs,A Fleet of Unitree GOs (GO1 and GO2) capable of Heterogeneous Collaborative Exploration.  ,Sayantani-Bhattacharya,Quadruped Robot,,Commercial Product,https://sayantani-bhattacharya.github.io/posts/quadruped-fleet,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:austinowens/robodog,robodog,Robotic quadruped project.,AustinOwens,Quadruped Robot,,Research Platform,https://github.com/AustinOwens/robodog,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:bitsrobocon/quadruped-diploid,Quadruped-DIPLOID,Developing a four-legged Quadruped robot 'DIPLOID' with stable walking by reinforced learning on bezier gait and terrain awareness using SLAM technique as a part of long-term project undertaken by Team Robocon. (2019-present),BitsRobocon,Quadruped Robot,,Commercial Product,https://bitsrobocon.github.io,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:asig-x/jeplo,JEPLO,First JEPA-based learning framework for mapping-free LiDAR-based perceptive locomotion,ASIG-X,Quadruped Robot,,Commercial Product,https://asig-x.github.io/jeplo_web,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:grassjelly/cheetah-algorithms,cheetah-algorithms,MIT Cheetah I algorithms in Jupyter Notebook,grassjelly,Quadruped Robot,,Research Platform,https://github.com/grassjelly/cheetah-algorithms,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:nicrusso7/robot-gym,robot-gym,RL applied to robotics.,nicrusso7,Quadruped Robot,,Research Platform,https://github.com/nicrusso7/robot-gym,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:pietrodardano/rl_dog,RL_Dog,"RL for Walk and Stop for quadruped legged robot (AlienGo - Unitree) + Examples. PPO (SKRL), DDPG (SKRL, SB3), TD3 (SB3).",pietrodardano,Quadruped Robot,,Research Platform,https://github.com/pietrodardano/RL_Dog,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:alexyskoutnev/quadruped-trajectory-optimization-stack,Quadruped-Trajectory-Optimization-Stack,Quadruped Trajectory Optimization Stack (QTOS) is an optimization framework for legged locomotion that autonomously generates full-body trajectory plans across challenging terrains.,Alexyskoutnev,Quadruped Robot,,Commercial Product,https://alexyskoutnev.github.io/Quadruped-Trajectory-Optimization-Stack,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:iit-dlslab/trash-collection-isaaclab,trash-collection-isaaclab,An IsaacLab extension by DLS for performing trash collection with legged robots,iit-DLSLab,Quadruped Robot,,Research Platform,https://github.com/iit-DLSLab/trash-collection-isaaclab,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:francescovezzi/quadruped-springs,quadruped-springs,Gym environment pybullet based for simulating a quadruped (optionally) PEA equipped.,francescovezzi,Quadruped Robot,,Research Platform,https://github.com/francescovezzi/quadruped-springs,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:chengruiz/quadrupedrl,QuadrupedRL,Agile Quadruped Locomotion RL based on bullet ,chengruiz,Quadruped Robot,,Research Platform,https://github.com/chengruiz/QuadrupedRL,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:derek-th-wang/hybrid_gait,hybrid_gait,RL training for quadruped robot(mit minicheetah) various gaits in different velocity based on MPC controller.,Derek-TH-Wang,Quadruped Robot,,Research Platform,https://github.com/Derek-TH-Wang/hybrid_gait,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:hitszwang/mini-cheetah-gazebo-urdf,mini-cheetah-gazebo-urdf,,HitSZwang,Quadruped Robot,,Research Platform,https://github.com/HitSZwang/mini-cheetah-gazebo-urdf,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:mpmumau/peabot-library,Peabot-Library,Peabot: quadruped robot library for Raspberry Pi,mpmumau,Quadruped Robot,,Research Platform,https://github.com/mpmumau/Peabot-Library,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:miguelasd688/quadruped-dog-like-robot,Quadruped-dog-like-robot,DIY project of a quadruped robot as a exercise for programming.,miguelasd688,Quadruped Robot,,Research Platform,https://github.com/miguelasd688/Quadruped-dog-like-robot,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:magnusoy/sparkie,Sparkie,"Sparkie, Autonomous inspections for process industry by a quadruped robot with use of neural networks",magnusoy,Quadruped Robot,,Commercial Product,https://github.com/magnusoy/Sparkie,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:iit-dlslab/get-up-isaaclab,get-up-isaaclab,"An IsaacLab DirectEnv for the quadruped get-up task, with support for multiple quadruped robots, sim-to-sim, and sim-to-real pipelines",iit-DLSLab,Quadruped Robot,,Research Platform,https://github.com/iit-DLSLab/get-up-isaaclab,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:klaasnicolaas/spot-redux,Spot-Redux,🤖 Building Quadruped robot for the minor IROB,klaasnicolaas,Quadruped Robot,,Research Platform,https://github.com/klaasnicolaas/Spot-Redux,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:krcarter/reinforcement-learning-crawling-robot,Reinforcement-Learning-Crawling-Robot,Reinforcement learning for crawling robot,krcarter,Quadruped Robot,,Research Platform,https://github.com/krcarter/Reinforcement-Learning-Crawling-Robot,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:jf-li5266/himloco-amp-lab,HimLoco-AMP-Lab,AMP-based quadruped locomotion framework on Isaac Lab,JF-Li5266,Quadruped Robot,,Research Platform,https://github.com/JF-Li5266/HimLoco-AMP-Lab,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:seanboe/quadrupedproject,QuadrupedProject,Repository for the cad/code for my quadruped project,seanboe,Quadruped Robot,,Research Platform,https://github.com/seanboe/QuadrupedProject,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:wangbaiyue007/quadruped-running-machine-webots,quadruped-running-machine-webots,"A quadruped running machine in webots with three different gaits: trotting, pacing, and bounding.",Wangbaiyue007,Quadruped Robot,,Research Platform,https://github.com/Wangbaiyue007/quadruped-running-machine-webots,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:multipedrobotics/multiped,multiped,Low level driver for a quadruped robot using either AX-12A or XL-320 servos,MultipedRobotics,Quadruped Robot,,Commercial Product,https://pypi.python.org/pypi/quadruped,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:ansh1113/terrain-aware-locomotion,terrain-aware-locomotion,"Terrain-aware locomotion pipeline for quadruped robots - 95% navigation success, 50% fall reduction using depth camera perception, ML terrain classification, and adaptive footstep planning with MoveIt2",ansh1113,Quadruped Robot,,Research Platform,https://github.com/ansh1113/terrain-aware-locomotion,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:jasonjzliu/spidey-quadruped,Spidey-Quadruped,Spidey: A 12 DOF Sprawling-Type Quadruped Robot,JasonJZLiu,Quadruped Robot,,Research Platform,https://github.com/JasonJZLiu/Spidey-Quadruped,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:dancher00/go2-nav2-wifi,go2-nav2-wifi,"Go2 Edu SLAM + Nav2 over Wi-Fi. Stock lidar, Docker, no external sensors",dancher00,Quadruped Robot,,Research Platform,https://github.com/dancher00/go2-nav2-wifi,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:lu-yidan/fr-net,FR-Net,"A simple PPO baseline for Unitree Go2 fall recovery, accompanying FR-Net (IEEE RA-L 2025).",lu-yidan,Quadruped Robot,,Research Platform,https://github.com/lu-yidan/FR-Net,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:yasaspeiris/aragog,aragog,A four legged robot imbued with the power of Python and Machine Learning,yasaspeiris,Quadruped Robot,,Commercial Product,https://hackster.io/yasaspeiris/raspberry-pi-powered-quadruped-bbb68b,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:romankalyna/dreamwaq-isaaclab,dreamwaq-isaaclab,Reproduction of DreamWaQ (ICRA 2023) in NVIDIA Isaac Lab - asymmetric actor-critic + CENet for proprioception-only quadrupedal locomotion on a Unitree Go2,romankalyna,Quadruped Robot,,Research Platform,https://github.com/romankalyna/dreamwaq-isaaclab,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:chinmaynehate/go1pylib,go1pylib,"go1pylib is a Python library designed to control the Go1 robot by Unitree Robotics. It provides an easy-to-use interface for robot movement, state management, collision avoidance, battery monitoring, and MQTT communication. Ideal for research and robotics development. https://pypi.org/project/go1pylib/",chinmaynehate,Quadruped Robot,,Commercial Product,https://chinmaynehate.github.io/go1pylib,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:nicrusso7/rex-models,rex-models,3D models of the Rex quadruped,nicrusso7,Quadruped Robot,,Commercial Product,https://nicrusso7.github.io/rex-models/mark_I,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:dragonflyrobotics/project-zeta,Project-Zeta,A biomimetic quadruped platform to develop a general intelligence 1 step at a time.,DragonflyRobotics,Quadruped Robot,,Research Platform,https://github.com/DragonflyRobotics/Project-Zeta,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:anubhav1772/aliengo-sim2sim-mujoco,aliengo-sim2sim-mujoco,"Reproduction of the Walk These Ways low-level locomotion controller in a MuJoCo environment for the AlienGo quadruped, enabling sim-to-sim evaluation of policies originally trained in Isaac Gym.",anubhav1772,Quadruped Robot,,Research Platform,https://github.com/anubhav1772/aliengo-sim2sim-mujoco,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:derdacavga/quadruped-robot,quadruped-robot,this is world simplest quadruped Robot MiniQ by DSN,derdacavga,Quadruped Robot,,Research Platform,https://github.com/derdacavga/quadruped-robot,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:ansh1113/rl-locomotion-cbf,rl-locomotion-cbf,"Safe reinforcement learning for quadruped locomotion using Control Barrier Functions (CBF) - Zero falls, 99% safety rate, 90% speed retention with provable safety guarantees",ansh1113,Quadruped Robot,,Research Platform,https://github.com/ansh1113/rl-locomotion-cbf,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:mackajunest/8-dof-quadruped-robot,8-DOF-Quadruped-Robot,8 DOF Quadruped Robot with Raspberry Pi and Arduino Mega2560,MackaJunest,Quadruped Robot,,Research Platform,https://github.com/MackaJunest/8-DOF-Quadruped-Robot,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:dynamics-operator-foundry/legged-robots-bootcamp,Legged-Robots-Bootcamp,A Bootcamp for Legged Robotics,Dynamics-Operator-Foundry,Quadruped Robot,,Research Platform,https://github.com/Dynamics-Operator-Foundry/Legged-Robots-Bootcamp,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:fedecomi04/opensource-spinal-quadruped,opensource-spinal-quadruped,ASTRA: open-source 9.5 kg quadruped with a 3-DoF active spine. CAD + STM32 firmware + ROS 2 stack + thesis.,fedecomi04,Quadruped Robot,,Research Platform,https://github.com/fedecomi04/opensource-spinal-quadruped,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:jsw7460/simforge,SimForge,"Train one policy across Genesis, Newton, and MuJoCo — JAX RL for legged robots with cross-sim evaluation and sim2real deployment",jsw7460,Humanoid Robot,,Research Platform,https://github.com/jsw7460/SimForge,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:mickyasta/wheeled_quadruped_robot,wheeled_quadruped_robot,Self-balancing wheeled quadruped robot trained with deep reinforcement learning (PPO) in NVIDIA Isaac Lab / Isaac Sim.,MickyasTA,Quadruped Robot,,Research Platform,https://github.com/MickyasTA/wheeled_quadruped_robot,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:idreamsi/bittle-cam,Bittle-CAM,🐶 A simple web interface based on ESP32CAM module for controlling the Petoi Bittle robot,idreamsi,Quadruped Robot,,Research Platform,https://github.com/idreamsi/Bittle-CAM,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
robot:yusufdxb/go2-seeing-eye-dog,GO2-seeing-eye-dog,"Assistive robotics thesis on Unitree GO2: fuse mic-array bearing with visual person detection so a blind user can call the robot across a room by voice. ROS 2 Humble, Jetson Orin, YOLOv8, Whisper ASR.",yusufdxb,Quadruped Robot,,Research Platform,https://github.com/yusufdxb/GO2-seeing-eye-dog,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E1,False
