id,entity_type,name,description,official_url,repository_url,provider,model_family,architecture,parameter_count,context_length,modalities,license,open_weights,source_name,source_url,website_status,logo_status,quality_score,updated_at
model:hf:deepseek--deepseek-v3.2,MODEL,DeepSeek: DeepSeek V3.2,"DeepSeek-V3.2 is a large language model designed to harmonize high computational efficiency with strong reasoning and agentic tool-use performance. It introduces DeepSeek Sparse Attention (DSA), a fine-grained sparse attention mechanism...",https://openrouter.ai/models/deepseek/deepseek-v3.2,https://openrouter.ai/models/deepseek/deepseek-v3.2,Deepseek,DeepSeek,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:anthropic--claude-opus-4.5,MODEL,Anthropic: Claude Opus 4.5,"Claude Opus 4.5 is Anthropic’s frontier reasoning model optimized for complex software engineering, agentic workflows, and long-horizon computer use. It offers strong multimodal capabilities, competitive performance across real-world coding and...",https://openrouter.ai/models/anthropic/claude-opus-4.5,https://openrouter.ai/models/anthropic/claude-opus-4.5,Anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:anthropic--claude-opus-4.5:batch,MODEL,Anthropic: Claude Opus 4.5 (batch),"Claude Opus 4.5 is Anthropic’s frontier reasoning model optimized for complex software engineering, agentic workflows, and long-horizon computer use. It offers strong multimodal capabilities, competitive performance across real-world coding and...",https://openrouter.ai/models/anthropic/claude-opus-4.5:batch,https://openrouter.ai/models/anthropic/claude-opus-4.5:batch,Anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:google--gemini-3-pro-image-preview,MODEL,Google: Nano Banana Pro (Gemini 3 Pro Image Preview),"Nano Banana Pro is Google’s most advanced image-generation and editing model, built on Gemini 3 Pro. It extends the original Nano Banana with significantly improved multimodal reasoning, real-world grounding, and...",https://openrouter.ai/models/google/gemini-3-pro-image-preview,https://openrouter.ai/models/google/gemini-3-pro-image-preview,Google,Gemini,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:openai--gpt-5.1,MODEL,OpenAI: GPT-5.1,"GPT-5.1 is the latest frontier-grade model in the GPT-5 series, offering stronger general-purpose reasoning, improved instruction adherence, and a more natural conversational style compared to GPT-5. It uses adaptive reasoning...",https://openrouter.ai/models/openai/gpt-5.1,https://openrouter.ai/models/openai/gpt-5.1,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:openai--gpt-5.1:batch,MODEL,OpenAI: GPT-5.1 (batch),"GPT-5.1 is the latest frontier-grade model in the GPT-5 series, offering stronger general-purpose reasoning, improved instruction adherence, and a more natural conversational style compared to GPT-5. It uses adaptive reasoning...",https://openrouter.ai/models/openai/gpt-5.1:batch,https://openrouter.ai/models/openai/gpt-5.1:batch,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:openai--gpt-5.1-codex,MODEL,OpenAI: GPT-5.1-Codex,"GPT-5.1-Codex is a specialized version of GPT-5.1 optimized for software engineering and coding workflows. It is designed for both interactive development sessions and long, independent execution of complex engineering tasks....",https://openrouter.ai/models/openai/gpt-5.1-codex,https://openrouter.ai/models/openai/gpt-5.1-codex,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:openai--gpt-5.1-codex-mini,MODEL,OpenAI: GPT-5.1-Codex-Mini,GPT-5.1-Codex-Mini is a smaller and faster version of GPT-5.1-Codex,https://openrouter.ai/models/openai/gpt-5.1-codex-mini,https://openrouter.ai/models/openai/gpt-5.1-codex-mini,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:moonshotai--kimi-k2-thinking,MODEL,MoonshotAI: Kimi K2 Thinking,"Kimi K2 Thinking is Moonshot AI’s most advanced open reasoning model to date, extending the K2 series into agentic, long-horizon reasoning. Built on the trillion-parameter Mixture-of-Experts (MoE) architecture introduced in...",https://openrouter.ai/models/moonshotai/kimi-k2-thinking,https://openrouter.ai/models/moonshotai/kimi-k2-thinking,Moonshotai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:amazon--nova-premier-v1,MODEL,Amazon: Nova Premier 1.0,Amazon Nova Premier is the most capable of Amazon’s multimodal models for complex reasoning tasks and for use as the best teacher for distilling custom models.,https://openrouter.ai/models/amazon/nova-premier-v1,https://openrouter.ai/models/amazon/nova-premier-v1,Amazon,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:perplexity--sonar-pro-search,MODEL,Perplexity: Sonar Pro Search,"Exclusively available on the OpenRouter API, Sonar Pro's new Pro Search mode is Perplexity's most advanced agentic search system. It is designed for deeper reasoning and analysis. Pricing is based...",https://openrouter.ai/models/perplexity/sonar-pro-search,https://openrouter.ai/models/perplexity/sonar-pro-search,Perplexity,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:mistralai--voxtral-small-24b-2507,MODEL,Mistral: Voxtral Small 24B 2507,"Voxtral Small is an enhancement of Mistral Small 3, incorporating state-of-the-art audio input capabilities while retaining best-in-class text performance. It excels at speech transcription, translation and audio understanding. Input audio...",https://openrouter.ai/models/mistralai/voxtral-small-24b-2507,https://openrouter.ai/models/mistralai/voxtral-small-24b-2507,Mistralai,Mistral,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:openai--gpt-oss-safeguard-20b,MODEL,OpenAI: gpt-oss-safeguard-20b,"gpt-oss-safeguard-20b is a safety reasoning model from OpenAI built upon gpt-oss-20b. This open-weight, 21B-parameter Mixture-of-Experts (MoE) model offers lower latency for safety tasks like content classification, LLM filtering, and trust...",https://openrouter.ai/models/openai/gpt-oss-safeguard-20b,https://openrouter.ai/models/openai/gpt-oss-safeguard-20b,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:minimax--minimax-m2,MODEL,MiniMax: MiniMax M2,"MiniMax-M2 is a compact, high-efficiency large language model optimized for end-to-end coding and agentic workflows. With 10 billion activated parameters (230 billion total), it delivers near-frontier intelligence across general reasoning,...",https://openrouter.ai/models/minimax/minimax-m2,https://openrouter.ai/models/minimax/minimax-m2,Minimax,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:qwen--qwen3-vl-32b-instruct,MODEL,Qwen: Qwen3 VL 32B Instruct,"Qwen3-VL-32B-Instruct is a large-scale multimodal vision-language model designed for high-precision understanding and reasoning across text, images, and video. With 32 billion parameters, it combines deep visual perception with advanced text...",https://openrouter.ai/models/qwen/qwen3-vl-32b-instruct,https://openrouter.ai/models/qwen/qwen3-vl-32b-instruct,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:ibm-granite--granite-4.0-h-micro,MODEL,IBM: Granite 4.0 Micro,Granite-4.0-H-Micro is a 3B parameter from the Granite 4 family of models. These models are the latest in a series of models released by IBM. They are fine-tuned for long...,https://openrouter.ai/models/ibm-granite/granite-4.0-h-micro,https://openrouter.ai/models/ibm-granite/granite-4.0-h-micro,Ibm-granite,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:openai--gpt-5-image-mini,MODEL,OpenAI: GPT-5 Image Mini,"GPT-5 Image Mini combines OpenAI's advanced language capabilities, powered by [GPT-5 Mini](https://openrouter.ai/openai/gpt-5-mini), with GPT Image 1 Mini for efficient image generation. This natively multimodal model features superior instruction following, text...",https://openrouter.ai/models/openai/gpt-5-image-mini,https://openrouter.ai/models/openai/gpt-5-image-mini,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:anthropic--claude-haiku-4.5,MODEL,Anthropic: Claude Haiku 4.5,"Claude Haiku 4.5 is Anthropic’s fastest and most efficient model, delivering near-frontier intelligence at a fraction of the cost and latency of larger Claude models. Matching Claude Sonnet 4’s performance...",https://openrouter.ai/models/anthropic/claude-haiku-4.5,https://openrouter.ai/models/anthropic/claude-haiku-4.5,Anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:anthropic--claude-haiku-4.5:batch,MODEL,Anthropic: Claude Haiku 4.5 (batch),"Claude Haiku 4.5 is Anthropic’s fastest and most efficient model, delivering near-frontier intelligence at a fraction of the cost and latency of larger Claude models. Matching Claude Sonnet 4’s performance...",https://openrouter.ai/models/anthropic/claude-haiku-4.5:batch,https://openrouter.ai/models/anthropic/claude-haiku-4.5:batch,Anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:qwen--qwen3-vl-8b-thinking,MODEL,Qwen: Qwen3 VL 8B Thinking,"Qwen3-VL-8B-Thinking is the reasoning-optimized variant of the Qwen3-VL-8B multimodal model, designed for advanced visual and textual reasoning across complex scenes, documents, and temporal sequences. It integrates enhanced multimodal alignment and...",https://openrouter.ai/models/qwen/qwen3-vl-8b-thinking,https://openrouter.ai/models/qwen/qwen3-vl-8b-thinking,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:qwen--qwen3-vl-8b-instruct,MODEL,Qwen: Qwen3 VL 8B Instruct,"Qwen3-VL-8B-Instruct is a multimodal vision-language model from the Qwen3-VL series, built for high-fidelity understanding and reasoning across text, images, and video. It features improved multimodal fusion with Interleaved-MRoPE for long-horizon...",https://openrouter.ai/models/qwen/qwen3-vl-8b-instruct,https://openrouter.ai/models/qwen/qwen3-vl-8b-instruct,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:openai--gpt-5-image,MODEL,OpenAI: GPT-5 Image,"[GPT-5](https://openrouter.ai/openai/gpt-5) Image combines OpenAI's GPT-5 model with state-of-the-art image generation capabilities. It offers major improvements in reasoning, code quality, and user experience while incorporating GPT Image 1's superior instruction following,...",https://openrouter.ai/models/openai/gpt-5-image,https://openrouter.ai/models/openai/gpt-5-image,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:google--gemini-2.5-flash-image,MODEL,Google: Nano Banana (Gemini 2.5 Flash Image),"Gemini 2.5 Flash Image, a.k.a. ""Nano Banana,"" is now generally available. It is a state of the art image generation model with contextual understanding. It is capable of image generation,...",https://openrouter.ai/models/google/gemini-2.5-flash-image,https://openrouter.ai/models/google/gemini-2.5-flash-image,Google,Gemini,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:qwen--qwen3-vl-30b-a3b-thinking,MODEL,Qwen: Qwen3 VL 30B A3B Thinking,"Qwen3-VL-30B-A3B-Thinking is a multimodal model that unifies strong text generation with visual understanding for images and videos. Its Thinking variant enhances reasoning in STEM, math, and complex tasks. It excels...",https://openrouter.ai/models/qwen/qwen3-vl-30b-a3b-thinking,https://openrouter.ai/models/qwen/qwen3-vl-30b-a3b-thinking,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:qwen--qwen3-vl-30b-a3b-instruct,MODEL,Qwen: Qwen3 VL 30B A3B Instruct,Qwen3-VL-30B-A3B-Instruct is a multimodal model that unifies strong text generation with visual understanding for images and videos. Its Instruct variant optimizes instruction-following for general multimodal tasks. It excels in perception...,https://openrouter.ai/models/qwen/qwen3-vl-30b-a3b-instruct,https://openrouter.ai/models/qwen/qwen3-vl-30b-a3b-instruct,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:openai--gpt-5-pro,MODEL,OpenAI: GPT-5 Pro,"GPT-5 Pro is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, and user experience. It is optimized for complex tasks that require step-by-step reasoning, instruction following, and...",https://openrouter.ai/models/openai/gpt-5-pro,https://openrouter.ai/models/openai/gpt-5-pro,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:openai--gpt-5-pro:batch,MODEL,OpenAI: GPT-5 Pro (batch),"GPT-5 Pro is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, and user experience. It is optimized for complex tasks that require step-by-step reasoning, instruction following, and...",https://openrouter.ai/models/openai/gpt-5-pro:batch,https://openrouter.ai/models/openai/gpt-5-pro:batch,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:z-ai--glm-4.6,MODEL,Z.ai: GLM 4.6,"Compared with GLM-4.5, this generation brings several key improvements: Longer context window: The context window has been expanded from 128K to 200K tokens, enabling the model to handle more complex...",https://openrouter.ai/models/z-ai/glm-4.6,https://openrouter.ai/models/z-ai/glm-4.6,Z-ai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:anthropic--claude-sonnet-4.5,MODEL,Anthropic: Claude Sonnet 4.5,"Claude Sonnet 4.5 is Anthropic’s most advanced Sonnet model to date, optimized for real-world agents and coding workflows. It delivers state-of-the-art performance on coding benchmarks such as SWE-bench Verified, with...",https://openrouter.ai/models/anthropic/claude-sonnet-4.5,https://openrouter.ai/models/anthropic/claude-sonnet-4.5,Anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:anthropic--claude-sonnet-4.5:batch,MODEL,Anthropic: Claude Sonnet 4.5 (batch),"Claude Sonnet 4.5 is Anthropic’s most advanced Sonnet model to date, optimized for real-world agents and coding workflows. It delivers state-of-the-art performance on coding benchmarks such as SWE-bench Verified, with...",https://openrouter.ai/models/anthropic/claude-sonnet-4.5:batch,https://openrouter.ai/models/anthropic/claude-sonnet-4.5:batch,Anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:deepseek--deepseek-v3.2-exp,MODEL,DeepSeek: DeepSeek V3.2 Exp,"DeepSeek-V3.2-Exp is an experimental large language model released by DeepSeek as an intermediate step between V3.1 and future architectures. It introduces DeepSeek Sparse Attention (DSA), a fine-grained sparse attention mechanism...",https://openrouter.ai/models/deepseek/deepseek-v3.2-exp,https://openrouter.ai/models/deepseek/deepseek-v3.2-exp,Deepseek,DeepSeek,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:thedrummer--cydonia-24b-v4.1,MODEL,TheDrummer: Cydonia 24B V4.1,"Uncensored and creative writing model based on Mistral Small 3.2 24B with good recall, prompt adherence, and intelligence.",https://openrouter.ai/models/thedrummer/cydonia-24b-v4.1,https://openrouter.ai/models/thedrummer/cydonia-24b-v4.1,Thedrummer,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:relace--relace-apply-3,MODEL,Relace: Relace Apply 3,"Relace Apply 3 is a specialized code-patching LLM that merges AI-suggested edits straight into your source files. It can apply updates from GPT-4o, Claude, and others into your files at...",https://openrouter.ai/models/relace/relace-apply-3,https://openrouter.ai/models/relace/relace-apply-3,Relace,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:qwen--qwen3-vl-235b-a22b-thinking,MODEL,Qwen: Qwen3 VL 235B A22B Thinking,Qwen3-VL-235B-A22B Thinking is a multimodal model that unifies strong text generation with visual understanding across images and video. The Thinking model is optimized for multimodal reasoning in STEM and math....,https://openrouter.ai/models/qwen/qwen3-vl-235b-a22b-thinking,https://openrouter.ai/models/qwen/qwen3-vl-235b-a22b-thinking,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:qwen--qwen3-vl-235b-a22b-instruct,MODEL,Qwen: Qwen3 VL 235B A22B Instruct,"Qwen3-VL-235B-A22B Instruct is an open-weight multimodal model that unifies strong text generation with visual understanding across images and video. The Instruct model targets general vision-language use (VQA, document parsing, chart/table...",https://openrouter.ai/models/qwen/qwen3-vl-235b-a22b-instruct,https://openrouter.ai/models/qwen/qwen3-vl-235b-a22b-instruct,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:qwen--qwen3-max,MODEL,Qwen: Qwen3 Max,"Qwen3-Max is an updated release built on the Qwen3 series, offering major improvements in reasoning, instruction following, multilingual support, and long-tail knowledge coverage compared to the January 2025 version. It...",https://openrouter.ai/models/qwen/qwen3-max,https://openrouter.ai/models/qwen/qwen3-max,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:qwen--qwen3-coder-plus,MODEL,Qwen: Qwen3 Coder Plus,Qwen3 Coder Plus is Alibaba's proprietary version of the Open Source Qwen3 Coder 480B A35B. It is a powerful coding agent model specializing in autonomous programming via tool calling and...,https://openrouter.ai/models/qwen/qwen3-coder-plus,https://openrouter.ai/models/qwen/qwen3-coder-plus,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:deepseek--deepseek-v3.1-terminus,MODEL,DeepSeek: DeepSeek V3.1 Terminus,"DeepSeek-V3.1 Terminus is an update to [DeepSeek V3.1](/deepseek/deepseek-chat-v3.1) that maintains the model's original capabilities while addressing issues reported by users, including language consistency and agent capabilities, further optimizing the model's...",https://openrouter.ai/models/deepseek/deepseek-v3.1-terminus,https://openrouter.ai/models/deepseek/deepseek-v3.1-terminus,Deepseek,DeepSeek,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.433916+00:00
model:hf:qwen--qwen3-coder-flash,MODEL,Qwen: Qwen3 Coder Flash,Qwen3 Coder Flash is Alibaba's fast and cost efficient version of their proprietary Qwen3 Coder Plus. It is a powerful coding agent model specializing in autonomous programming via tool calling...,https://openrouter.ai/models/qwen/qwen3-coder-flash,https://openrouter.ai/models/qwen/qwen3-coder-flash,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
model:hf:qwen--qwen3-next-80b-a3b-thinking,MODEL,Qwen: Qwen3 Next 80B A3B Thinking,"Qwen3-Next-80B-A3B-Thinking is a reasoning-first chat model in the Qwen3-Next line that outputs structured “thinking” traces by default. It’s designed for hard multi-step problems; math proofs, code synthesis/debugging, logic, and agentic...",https://openrouter.ai/models/qwen/qwen3-next-80b-a3b-thinking,https://openrouter.ai/models/qwen/qwen3-next-80b-a3b-thinking,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
model:hf:qwen--qwen3-next-80b-a3b-instruct,MODEL,Qwen: Qwen3 Next 80B A3B Instruct,"Qwen3-Next-80B-A3B-Instruct is an instruction-tuned chat model in the Qwen3-Next series optimized for fast, stable responses without “thinking” traces. It targets complex tasks across reasoning, code generation, knowledge QA, and multilingual...",https://openrouter.ai/models/qwen/qwen3-next-80b-a3b-instruct,https://openrouter.ai/models/qwen/qwen3-next-80b-a3b-instruct,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
model:hf:qwen--qwen-plus-2025-07-28,MODEL,Qwen: Qwen Plus 0728,"Qwen Plus 0728, based on the Qwen3 foundation model, is a 1 million context hybrid reasoning model with a balanced performance, speed, and cost combination.",https://openrouter.ai/models/qwen/qwen-plus-2025-07-28,https://openrouter.ai/models/qwen/qwen-plus-2025-07-28,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
model:hf:moonshotai--kimi-k2-0905,MODEL,MoonshotAI: Kimi K2 0905,"Kimi K2 0905 is the September update of [Kimi K2 0711](moonshotai/kimi-k2). It is a large-scale Mixture-of-Experts (MoE) language model developed by Moonshot AI, featuring 1 trillion total parameters with 32...",https://openrouter.ai/models/moonshotai/kimi-k2-0905,https://openrouter.ai/models/moonshotai/kimi-k2-0905,Moonshotai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
model:hf:qwen--qwen3-30b-a3b-thinking-2507,MODEL,Qwen: Qwen3 30B A3B Thinking 2507,"Qwen3-30B-A3B-Thinking-2507 is a 30B parameter Mixture-of-Experts reasoning model optimized for complex tasks requiring extended multi-step thinking. The model is designed specifically for “thinking mode,” where internal reasoning traces are separated...",https://openrouter.ai/models/qwen/qwen3-30b-a3b-thinking-2507,https://openrouter.ai/models/qwen/qwen3-30b-a3b-thinking-2507,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
model:hf:nousresearch--hermes-4-405b,MODEL,Nous: Hermes 4 405B,"Hermes 4 is a large-scale reasoning model built on Meta-Llama-3.1-405B and released by Nous Research. It introduces a hybrid reasoning mode, where the model can choose to deliberate internally with...",https://openrouter.ai/models/nousresearch/hermes-4-405b,https://openrouter.ai/models/nousresearch/hermes-4-405b,Nousresearch,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
model:hf:deepseek--deepseek-chat-v3.1,MODEL,DeepSeek: DeepSeek V3.1,"DeepSeek-V3.1 is a large hybrid reasoning model (671B parameters, 37B active) that supports both thinking and non-thinking modes via prompt templates. It extends the DeepSeek-V3 base with a two-phase long-context...",https://openrouter.ai/models/deepseek/deepseek-chat-v3.1,https://openrouter.ai/models/deepseek/deepseek-chat-v3.1,Deepseek,DeepSeek,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
model:hf:mistralai--mistral-medium-3.1,MODEL,Mistral: Mistral Medium 3.1,"Mistral Medium 3.1 is an updated version of Mistral Medium 3, which is a high-performance enterprise-grade language model designed to deliver frontier-level capabilities at significantly reduced operational cost. It balances...",https://openrouter.ai/models/mistralai/mistral-medium-3.1,https://openrouter.ai/models/mistralai/mistral-medium-3.1,Mistralai,Mistral,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
model:hf:mistralai--mistral-medium-3.1:batch,MODEL,Mistral: Mistral Medium 3.1 (batch),"Mistral Medium 3.1 is an updated version of Mistral Medium 3, which is a high-performance enterprise-grade language model designed to deliver frontier-level capabilities at significantly reduced operational cost. It balances...",https://openrouter.ai/models/mistralai/mistral-medium-3.1:batch,https://openrouter.ai/models/mistralai/mistral-medium-3.1:batch,Mistralai,Mistral,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
model:hf:z-ai--glm-4.5v,MODEL,Z.ai: GLM 4.5V,"GLM-4.5V is a vision-language foundation model for multimodal agent applications. Built on a Mixture-of-Experts (MoE) architecture with 106B parameters and 12B activated parameters, it achieves state-of-the-art results in video understanding,...",https://openrouter.ai/models/z-ai/glm-4.5v,https://openrouter.ai/models/z-ai/glm-4.5v,Z-ai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
model:hf:openai--gpt-5,MODEL,OpenAI: GPT-5,"GPT-5 is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, and user experience. It is optimized for complex tasks that require step-by-step reasoning, instruction following, and accuracy...",https://openrouter.ai/models/openai/gpt-5,https://openrouter.ai/models/openai/gpt-5,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.434923+00:00
